chr,start,end,length,abs_summit,pileup,separation,fold_enrichment,-LOG10(qvalue),name
1,1530303,1531956,1654,1530585,41.06,0,7.01052,19.02382,p10_peak_5
1,8064129,8065680,1552,8065046,33.65,6532173,6.09373,12.99911,p10_peak_9
1,8079014,8079604,591,8079335,15.97,13334,6.3417,6.34126,p10_peak_15
1,8456803,8457477,675,8457222,16.54,377199,6.16279,6.67944,p10_peak_25
1,8468110,8469959,1850,8469362,17.68,10633,6.98113,8.15424,p10_peak_28
1,8472074,8473019,946,8472764,16.54,2115,6.55485,7.24145,p10_peak_29
1,12493427,12494457,1031,12493910,15.97,4020408,6.27551,6.29913,p10_peak_55
1,18200371,18201805,1435,18201103,17.68,5705914,6.76614,7.87418,p10_peak_93
1,23426697,23427234,538,23427019,16.54,5224892,6.35298,6.97076,p10_peak_122
1,23903064,23904480,1417,23904133,21.67,475830,8.21218,11.80528,p10_peak_126
1,26324399,26325336,938,26324653,28.52,2419919,6.69602,12.32593,p10_peak_141
1,27097526,27099878,2353,27098541,26.23,772190,8.04429,14.14826,p10_peak_151
1,27325803,27332563,6761,27331636,42.2,225925,6.46763,17.90603,p10_peak_157
1,32045573,32046071,499,32045828,41.06,4713010,7.58714,20.53262,p10_peak_185
1,44287655,44288372,718,44288015,18.25,12241584,7.19427,9.11355,p10_peak_283
1,44793253,44794199,947,44793550,23.38,504881,9.11255,14.4017,p10_peak_289
1,46378935,46379562,628,46379308,15.4,1584736,6.12856,6.34126,p10_peak_298
1,54303920,54304371,452,54304113,123.19,7924358,6.20947,51.11071,p10_peak_325
1,55392158,55392624,467,55392378,21.67,1087787,8.47313,12.21211,p10_peak_330
1,55968913,55969929,1017,55969068,17.68,576289,6.98113,8.15424,p10_peak_336
1,56184088,56185370,1283,56184494,22.81,214159,8.89941,13.29311,p10_peak_340
1,59049793,59050912,1120,59050509,17.68,2864423,6.98113,8.15424,p10_peak_349
1,59220774,59221555,782,59221300,16.54,169862,6.55485,7.24145,p10_peak_351
1,60171313,60172118,806,60171915,16.54,949758,6.55485,7.24145,p10_peak_372
1,60196121,60197446,1326,60196740,18.25,24003,7.11918,9.0173,p10_peak_374
1,64385954,64386683,730,64386097,15.97,4188508,6.3417,6.34126,p10_peak_392
1,64508043,64508495,453,64508284,16.54,121360,6.55485,7.24145,p10_peak_394
1,65383068,65383770,703,65383551,17.11,874573,6.30032,7.46247,p10_peak_400
1,65398963,65399387,425,65399146,17.68,15193,6.22665,7.06685,p10_peak_401
1,66930210,66930812,603,66930558,15.4,1530823,6.12856,6.34126,p10_peak_404
1,68256960,68257992,1033,68257616,17.11,1326148,6.03654,7.06685,p10_peak_423
1,68577421,68579460,2040,68578159,15.4,319429,6.12856,6.34126,p10_peak_429
1,68639193,68641185,1993,68639831,20.53,59733,8.04684,11.15768,p10_peak_433
