chromosome	start	end	width	peak.location	chip	peak.location.new	target.ensembl.id	target.gene.name	distance.to.gene	Huvec.cFos	Huvec.cFos.ChIP	Huvec.cJun	Huvec.cJun.ChIP	HUVEC_p65_TNF30.all	HUVEC_p65_TNF30.all.ChIP	HUVEC_p65_TNF30.with	HUVEC_p65_TNF30.with.ChIP	HUVEC_p65_TNF30.without	HUVEC_p65_TNF30.without.ChIP	hikackedEnhancers_hg18	hikackedEnhancers_hg18.ChIP
chr1	121182195	121187105	4911	121186722	396	121186722	ENSG00000216725	AL592494.2	-224056	FALSE	NA	FALSE	NA	TRUE	20	FALSE	NA	TRUE	223	TRUE	366
chr1	91625248	91626042	795	91625568	296	91625568	ENSG00000211233	AC098691.2	168	FALSE	NA	FALSE	NA	TRUE	161	FALSE	NA	TRUE	161	TRUE	188
chr1	154452563	154453460	898	154453051	289	154453051	ENSG00000203262	AL135927.14-2	2159	TRUE	268	FALSE	NA	TRUE	134	FALSE	NA	TRUE	134	TRUE	55
chr1	121058739	121059749	1011	121059551	156	121059551	ENSG00000216725	AL592494.2	-96885	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	159680933	159689180	8248	159684304	151	159684304	ENSG00000208455	AL592295.25-2	-27019	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	159696674	159704400	7727	159699116	147	159699116	ENSG00000208455	AL592295.25-2	-41831	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	556989	560284	3296	559279	142	559279	ENSG00000212679	RP5-857K21.10	-340	FALSE	NA	FALSE	NA	TRUE	52	FALSE	NA	TRUE	52	FALSE	NA
chr1	159705083	159709183	4101	159706493	141	159706493	ENSG00000143226	FCGR2A	35351	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	226810599	226849247	38649	226837420	137	226837420	ENSG00000199270	5S_rRNA	-61	TRUE	22	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	554209	556746	2538	555070	134	555070	ENSG00000217866	RP5-857K21.8	-187	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	159689286	159696024	6739	159691683	133	159691683	ENSG00000208455	AL592295.25-2	-34398	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
chr1	142123576	142125905	2330	142124821	122	142124821	ENSG00000219025	BX571672.8	-37475	FALSE	NA	FALSE	NA	TRUE	23	FALSE	NA	TRUE	23	FALSE	NA
chr1	142120023	142122649	2627	142121945	117	142121945	ENSG00000219025	BX571672.8	-34599	FALSE	NA	FALSE	NA	TRUE	35	TRUE	35	TRUE	47	TRUE	31
